x1	x2	y
60.18259939	86.3085521	1
79.03273605	75.34437644	1
61.10666454	96.51142588	1
75.02474557	46.55401354	1
76.0987867	87.42056972	1
84.43281996	43.53339331	1
82.30705337	76.4819633	1
69.36458876	97.71869196	1
53.97105215	89.20735014	1
69.07014406	52.74046973	1
70.66150955	92.92713789	1
76.97878373	47.57596365	1
89.67677575	65.79936593	1
77.92409145	68.97235999	1
62.27101367	69.95445795	1
80.19018075	44.82162893	1
61.37928945	72.80788731	1
85.40451939	57.05198398	1
52.04540477	69.43286012	1
64.17698887	80.90806059	1
83.90239366	56.30804622	1
94.44336777	65.56892161	1
77.19303493	70.4582	1
97.77159928	86.72782233	1
62.0730638	96.76882412	1
91.5649745	88.69629255	1
79.94481794	74.16311935	1
99.27252693	60.999031	1
90.54671411	43.39060181	1
97.64563396	68.86157272	1
74.24869137	69.82457123	1
71.79646206	78.45356225	1
75.39561147	85.75993667	1
40.45755098	97.53518549	1
80.27957401	92.11606081	1
66.74671857	60.99139403	1
64.03932042	78.03168802	1
72.34649423	96.22759297	1
60.45788574	73.0949981	1
58.84095622	75.85844831	1
99.8278578	72.36925193	1
47.26426911	88.475865	1
50.4581598	75.80985953	1
88.91389642	69.8037889	1
94.83450672	45.6943068	1
67.31925747	66.58935318	1
57.23870632	59.51428198	1
80.366756	90.9601479	1
68.46852179	85.5943071	1
75.47770201	90.424539	1
78.63542435	96.64742717	1
94.09433113	77.15910509	1
90.44855097	87.50879176	1
74.49269242	84.84513685	1
89.84580671	45.35828361	1
83.48916274	48.3802858	1
42.26170081	87.10385094	1
99.31500881	68.77540947	1
55.34001756	64.93193801	1
74.775893	89.5298129	1
