x1	x2	y
34.62365962	78.02469282	0
30.28671077	43.89499752	0
35.84740877	72.90219803	0
45.08327748	56.31637178	0
95.86155507	38.22527806	0
75.01365839	30.60326323	0
39.53833914	76.03681085	0
67.94685548	46.67857411	0
67.37202755	42.83843832	0
50.53478829	48.85581153	0
34.21206098	44.2095286	0
93.1143888	38.80067034	0
61.83020602	50.25610789	0
38.7858038	64.99568096	0
52.10797973	63.12762377	0
40.23689374	71.16774802	0
54.63510555	52.21388588	0
33.91550011	98.86943574	0
74.78925296	41.57341523	0
34.18364003	75.23772034	0
51.54772027	46.85629026	0
82.36875376	40.61825516	0
51.04775177	45.82270146	0
62.22267576	52.06099195	0
34.52451385	60.39634246	0
50.28649612	49.80453881	0
49.58667722	59.80895099	0
32.57720017	95.59854761	0
35.28611282	47.02051395	0
56.2538175	39.26147251	0
30.05882245	49.59297387	0
44.66826172	66.45008615	0
66.56089447	41.09209808	0
49.07256322	51.88321182	0
32.72283304	43.30717306	0
60.45555629	42.50840944	0
82.22666158	42.71987854	0
42.07545454	78.844786	0
52.34800399	60.76950526	0
55.48216114	35.57070347	0
